# Random instances, read back by cell and by column
#
# Generated by validation/gen_wb_vectors.py from
# validation/bcmc_periph.py. Do not edit: regenerate.
#
# Geometry: MAX_C = 64, VAL_W = 16, IDX_W = 16
#
# op adr sel data     exp rdata
Z

L N = 1, C = 1, weights 0
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000010 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000011 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000012 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000013 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000014 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000015 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000016 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000017 ACK 00000000
R  024 F 00000000 ACK 00000001
W  01C F 00000004 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000010 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000011 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000012 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000013 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000014 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000015 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000016 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000017 ACK 00000000
R  024 F 00000000 ACK 00000001
W  01C F 00000005 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000010 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000011 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000012 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000013 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000014 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000015 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000016 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000017 ACK 00000000
R  024 F 00000000 ACK 00000000

L N = 18, C = 10, weights 15 15 12 18 1 2 1 9 10 9
W  014 F 00000012 ACK 00000000
W  018 F 0000000A ACK 00000000
W  400 F 0000000F ACK 00000000
W  404 F 0000000F ACK 00000000
W  408 F 0000000C ACK 00000000
W  40C F 00000012 ACK 00000000
W  410 F 00000001 ACK 00000000
W  414 F 00000002 ACK 00000000
W  418 F 00000001 ACK 00000000
W  41C F 00000009 ACK 00000000
W  420 F 0000000A ACK 00000000
W  424 F 00000009 ACK 00000000
W  00C F 00000001 ACK 00000000
P  010 F 00000002 ACK 00000002
R  800 F 00000000 ACK 00000000
R  804 F 00000000 ACK 0000000F
R  808 F 00000000 ACK 0000000C
R  80C F 00000000 ACK 00000006
R  810 F 00000000 ACK 00000006
R  814 F 00000000 ACK 00000007
R  818 F 00000000 ACK 00000009
R  81C F 00000000 ACK 0000000A
R  820 F 00000000 ACK 00000001
R  824 F 00000000 ACK 0000000B
W  020 F 00000000 ACK 00000000
R  028 F 00000000 ACK 0000028F
W  020 F 00000001 ACK 00000000
R  028 F 00000000 ACK 0000030F
W  020 F 00000002 ACK 00000000
R  028 F 00000000 ACK 0000010F
W  020 F 00000003 ACK 00000000
R  028 F 00000000 ACK 0000010F
W  020 F 00000004 ACK 00000000
R  028 F 00000000 ACK 0000010F
W  020 F 00000005 ACK 00000000
R  028 F 00000000 ACK 0000010F
W  020 F 00000006 ACK 00000000
R  028 F 00000000 ACK 0000011B
W  020 F 00000007 ACK 00000000
R  028 F 00000000 ACK 0000012B
W  020 F 00000008 ACK 00000000
R  028 F 00000000 ACK 0000012B
W  020 F 00000009 ACK 00000000
R  028 F 00000000 ACK 0000014B
W  020 F 0000000A ACK 00000000
R  028 F 00000000 ACK 0000018B
W  020 F 0000000B ACK 00000000
R  028 F 00000000 ACK 0000028B
W  020 F 0000000C ACK 00000000
R  028 F 00000000 ACK 0000028D
W  020 F 0000000D ACK 00000000
R  028 F 00000000 ACK 0000028D
W  020 F 0000000E ACK 00000000
R  028 F 00000000 ACK 0000028D
W  020 F 0000000F ACK 00000000
R  028 F 00000000 ACK 0000028E
W  020 F 00000010 ACK 00000000
R  028 F 00000000 ACK 0000028E
W  020 F 00000011 ACK 00000000
R  028 F 00000000 ACK 0000028E
W  01C F 00000000 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000010 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000011 ACK 00000000
R  024 F 00000000 ACK 00000000
W  01C F 00000001 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000010 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000011 ACK 00000000
R  024 F 00000000 ACK 00000001
W  01C F 00000002 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000010 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000011 ACK 00000000
R  024 F 00000000 ACK 00000001
W  01C F 00000003 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000010 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000011 ACK 00000000
R  024 F 00000000 ACK 00000001
W  01C F 00000004 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000010 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000011 ACK 00000000
R  024 F 00000000 ACK 00000000
W  01C F 00000005 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000010 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000011 ACK 00000000
R  024 F 00000000 ACK 00000000
W  01C F 00000006 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000010 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000011 ACK 00000000
R  024 F 00000000 ACK 00000000
W  01C F 00000007 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000010 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000011 ACK 00000000
R  024 F 00000000 ACK 00000001
W  01C F 00000008 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000010 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000011 ACK 00000000
R  024 F 00000000 ACK 00000000
W  01C F 00000009 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000010 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000011 ACK 00000000
R  024 F 00000000 ACK 00000001

L N = 3, C = 1, weights 3
W  014 F 00000003 ACK 00000000
W  018 F 00000001 ACK 00000000
W  400 F 00000003 ACK 00000000
W  00C F 00000001 ACK 00000000
P  010 F 00000002 ACK 00000002
R  800 F 00000000 ACK 00000000
W  020 F 00000000 ACK 00000000
R  028 F 00000000 ACK 00000001
W  020 F 00000001 ACK 00000000
R  028 F 00000000 ACK 00000001
W  020 F 00000002 ACK 00000000
R  028 F 00000000 ACK 00000001
W  01C F 00000000 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000001

L N = 22, C = 3, weights 1 11 10
W  014 F 00000016 ACK 00000000
W  018 F 00000003 ACK 00000000
W  400 F 00000001 ACK 00000000
W  404 F 0000000B ACK 00000000
W  408 F 0000000A ACK 00000000
W  00C F 00000001 ACK 00000000
P  010 F 00000002 ACK 00000002
R  800 F 00000000 ACK 00000000
R  804 F 00000000 ACK 00000001
R  808 F 00000000 ACK 0000000C
W  020 F 00000000 ACK 00000000
R  028 F 00000000 ACK 00000001
W  020 F 00000001 ACK 00000000
R  028 F 00000000 ACK 00000002
W  020 F 00000002 ACK 00000000
R  028 F 00000000 ACK 00000002
W  020 F 00000003 ACK 00000000
R  028 F 00000000 ACK 00000002
W  020 F 00000004 ACK 00000000
R  028 F 00000000 ACK 00000002
W  020 F 00000005 ACK 00000000
R  028 F 00000000 ACK 00000002
W  020 F 00000006 ACK 00000000
R  028 F 00000000 ACK 00000002
W  020 F 00000007 ACK 00000000
R  028 F 00000000 ACK 00000002
W  020 F 00000008 ACK 00000000
R  028 F 00000000 ACK 00000002
W  020 F 00000009 ACK 00000000
R  028 F 00000000 ACK 00000002
W  020 F 0000000A ACK 00000000
R  028 F 00000000 ACK 00000002
W  020 F 0000000B ACK 00000000
R  028 F 00000000 ACK 00000002
W  020 F 0000000C ACK 00000000
R  028 F 00000000 ACK 00000004
W  020 F 0000000D ACK 00000000
R  028 F 00000000 ACK 00000004
W  020 F 0000000E ACK 00000000
R  028 F 00000000 ACK 00000004
W  020 F 0000000F ACK 00000000
R  028 F 00000000 ACK 00000004
W  020 F 00000010 ACK 00000000
R  028 F 00000000 ACK 00000004
W  020 F 00000011 ACK 00000000
R  028 F 00000000 ACK 00000004
W  020 F 00000012 ACK 00000000
R  028 F 00000000 ACK 00000004
W  020 F 00000013 ACK 00000000
R  028 F 00000000 ACK 00000004
W  020 F 00000014 ACK 00000000
R  028 F 00000000 ACK 00000004
W  020 F 00000015 ACK 00000000
R  028 F 00000000 ACK 00000004
W  01C F 00000000 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000010 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000011 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000012 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000013 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000014 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000015 ACK 00000000
R  024 F 00000000 ACK 00000000
W  01C F 00000001 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000010 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000011 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000012 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000013 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000014 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000015 ACK 00000000
R  024 F 00000000 ACK 00000000
W  01C F 00000002 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000010 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000011 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000012 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000013 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000014 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000015 ACK 00000000
