# BCMC Cell random cases (N up to 65,535)
#
# Generated by validation/gen_vectors.py from validation/reference.py
# Seed: 20260731.  Do not edit by hand.
#
# One evaluation of the BCMC characteristic function per line:
#
#     bit = 1  iff  ((column - offset) mod N) < weight
#
#      N  weight  offset  column  bit
  41315   34913   22314   25320    1
   8363    2133    8037     499    1
  34306   16064    7359   13636    1
  46961   14684   31531   36936    1
  65105   65105   50351   16436    1
  11454       0    1312    1325    0
  58311   42873   28610   40613    1
   5961    5960    3129    2134    1
  12169    6428   10448     809    1
   3787     132    1540    2184    0
  15315   15314   11333    4048    1
  31541       0    4427   13923    0
  32956   25029    2131    4306    1
  62589       0   56550   50687    0
  52370   52370    9507   51185    1
  62243   42142    1698   45570    0
   6535       0    4001     784    0
  14815   14815     207    9106    1
  10642    8120    9357    7658    0
  42501   32990    2702   10290    1
  10191    1819     621     842    1
  35632   24212   34276   26223    0
  44411    2008   32650    8784    0
  17585   17584   12624    6080    1
  17656    6071   14689    8703    0
  62678   31555   33225   30420    0
    630     309      41     161    1
  61037   61036    5551   21282    1
  56170       0   44425   30456    0
   6155    4223    4497    2359    1
  37894   37893   27489   17805    1
   3461    3460    2020    2175    1
  20100   11390   11416    2136    1
  56789   56789   34243   27060    1
  64571   56369   54848   19693    1
  30086   30086    1678   13703    1
  11218   11217   10209    2455    1
  13859       0     824    5186    0
  11917   11917    7006    1892    1
   6875       0    5509    6589    0
  18637    1255    3451    7410    0
  59210   23243   48748    9854    1
  55307   23218   48753   44117    0
  42610   42609   38207   12238    1
   1963     157     335    1078    0
   1263    1262     418      52    1
  57511   57511   38326   36975    1
  48373   48372    9626   14854    1
   6691    3235    4782    5444    1
  54438       0   34325    7588    0
  12988   12988    8112     951    1
  61573   61572   20041   41028    1
  53904   53903    6882   49492    1
  20108   20107   14284   12593    1
  24490    4247    5426    6487    1
   1821     541     137     365    1
   9106    5378    8268    8074    0
  12149       0    4610     511    0
  64756   28855   63125   31800    0
  13441    5196   12948     661    1
  28554    9747   24672   22870    0
  56462   56461    9121   27478    1
   6834    6834    6271    6184    1
  63311   18867   42761   22706    0
  14024   14023    6777    9335    1
  30528       0   16312    9574    0
  44651   26945   39648     171    1
   6095    5681    2236    1938    0
  26242   18350   23333   17723    0
  25373    8955   11664   20194    1
  39202   32023   15162   38147    1
  36167   36167   12968   12851    1
  15951   15223    8256   15935    1
  46083   19000   27969    1709    0
  32900   30724   15900   28157    1
  32808    9029   15771   31667    0
  63454   62522    6518   52955    1
  46530   46530   28816    5414    1
  46219   46218   30923   29193    1
  16895   15328    2531   16770    1
  65157   65157   40064   50588    1
  55772       0   44005    3315    0
  32816   32816    9821   15483    1
  64627   31657   28766   28852    1
  36505   13809   11912   10077    0
  49781       0   42950   28234    0
  36069       0   27898    2709    0
  47270   39264   43714   23714    1
  57125    8031     991   16973    0
  59656   28183    7807   32227    1
  23106   23105    8474   15262    1
  56352   56352   18755   31475    1
   2340       0    1368    2008    0
  43799   20672   26613    8872    0
   4346    1485    3069    3758    1
   2594    1882    1095     568    0
  49323   19370   11912   32813    0
  64141       0    1300   59075    0
  22878   14977   22215    5428    1
  19987   10957    7219   14262    1
  27164       0   19771   19848    0
  29881   29880   28844    4355    1
  43002   43001    7632   40483    1
  58278       0    1139   28112    0
  26581    5815   12492   10066    0
  20085    9250   12274   12781    1
  21085   21085   18953    6386    1
  38262   38261    9545   12465    1
  53180   53166   44681    1133    1
    449     371     422     163    1
   8000    2646    6609    5765    0
  41056   41056   31766   31304    1
  25297   10409    4238    1488    0
  61257   32458   15730   38092    1
  11016   10926    2853    5226    1
  14424    4684   11845    9621    0
  13732   13731   11473    5667    1
  19125   19125   14378   18127    1
  10742   10741    1632     893    1
  35836       0   27529    2530    0
  36288   10808   33035   29730    0
  37410    8870   11795   17337    1
  34008   19013    8875   31571    0
   2520       0    1586    1379    0
  42153   24827   13427    2861    0
  26145      36    9444   21316    0
   7452    2665    7250    1556    1
   1041     942      16     474    1
  11080    2236    7572    7753    1
  50858   50858   20436   21018    1
  12310       0    9431    9351    0
    281     280      68      77    1
   1011     823     129     599    1
  31992   27202   30894    5709    1
  37788       0   31750    1639    0
  26738   25378     946    5932    1
  60648   51542   18634   30171    1
  23424    3700   20663    7752    0
  51575    4365    8973   35522    0
  20597   13325   12617    4012    1
  43715   21597   23271   28994    1
  34055   16622   12138    2574    0
  41516       0   25339   28347    0
  56925    9208    6463    5355    0
   1039       0     483     565    0
  41756       0    4719   23854    0
  16816       0    3634    9817    0
  38037   38036   17019   37690    1
  13571     552   10511    9318    0
  14954       0    4427    8434    0
  35967   35967   11193   10600    1
  54519   46323   12802    8437    0
  46954   41776   36271   19384    1
  47535   17076    8844   28011    0
  22671   22670   16488    4055    1
  62860   41111   59853   36979    1
   4437    1859    1777    2835    1
  48245    4517    2682   10618    0
  19914       0    2087   12887    0
  31489   31488   18901   10643    1
  41495   41494   20205   26375    1
  29365       0    9580   20283    0
  45759   14701   33673    6518    0
  12611   12611     631    4532    1
  45212       0   27550   16122    0
  46598   26832   26296   26278    0
  57682   29720   36910   24594    0
   6115    5453    3738    1692    1
  31466   12758   13655    3323    0
  44430    8648   32945    3012    0
  10846    8532    2056    6901    1
  35452   10380   18653   22686    1
  24006   10436   20560   21247    1
   4916    4915     160    2923    1
  16860    8357   15730    3464    1
  50096    7208    5814   39100    0
  28649   10041    5712   16278    0
  59405       0   34872       5    0
  52566   41878   26984   47319    1
  63427   53951   53785   26825    1
   7482    7482    1999     405    1
  42194   42194   13134   12674    1
   5231    5231    4670    1300    1
  24185   16787   21983   16765    0
   4019    1735    2235    1248    0
  11595       0    9057    4794    0
  56287    9373    3461   28741    0
  49762   49762   20423   41416    1
   4691    2353     501    2624    1
  52826       0   46701   26800    0
  26532   26532    4866    8562    1
  47524   16276   38869   11399    0
  23188    5923    9433    5351    0
  39492   37262   28557   29262    1
  35706   23797   26023   29063    1
  34813   20684   20791   20357    0
  13308   11508    6479    4094    1
  21147    1838   11469    7513    0
  51119    4749   42093   21181    0
  57072   32024   34920   39771    1
   6393       0     559    3914    0
   7285    4853    3953    2826    0
  18800   14709   15935    3511    1
  59064   57309   49923   42855    1
  36636   31396    8307   31483    1
  34407    7569   31441   32272    1
  44518   15274   33853    7536    0
  44065    4293   41607   41530    0
  27123    7390   23832      85    1
  62282    1263    2151   16419    0
  24969   15776   10674    8256    0
  33623   33622   25560   20500    1
  24286   13731    5053    5770    1
  29687    6918   20066   19942    0
  52477   52476   48312   49750    1
  15299   10764   10457   14106    1
  58130   58130   46019   52051    1
  48813       0   28527   14090    0
  53134   41150    3531   46420    0
  39494    7359   20836   30823    0
  26256    4002   10411   19440    0
  38980   38979   28426   23462    1
  17202    4038   16745    3751    0
  35732   35731   31257    8821    1
  28652   22595   10808     544    1
   3327       0    3285    1487    0
  29118       0   13891   24679    0
  51067   51067   35203   22406    1
  34895       0   18541   22442    0
  11604    6405    9533    5316    0
  64137   64136   21520   27295    1
   8939    4725    1461     664    0
  61780   17203   45693   31110    0
  31100   31100    5515    1723    1
  11666    8818    4198    4829    1
  56960       0   27121    5083    0
  56692   56691   32278     113    1
   1741       0     871     704    0
  31497       0   27504   16928    0
  48494   48494    8233   25007    1
  28069       0    6491   24019    0
  49967       0   35775   33138    0
  59208    1622   23851   22077    0
   6443    6399    3124    2614    1
   4063    1850    3641    3194    0
  10606    8018     787    6903    1
  35604   35604   19133   26159    1
  54096    8457   27866   40415    0
  24576   17079   21761    4242    1
  64845    8242   62882   20798    0
    686       0     637     292    0
  16311       0    1429   14354    0
  21678   15530    3644   13303    1
  56278       0   48889   21078    0
  25525   14221   24171   20484    0
  59453   14735   52297   32600    0
  32796   25592    4909   18071    1
  28561    3546    8062   10637    1
  56465   49879      35   15815    1
  17888   17888   10169    2079    1
   1248     135     770     257    0
  45760   45760   16332   25742    1
  11130    6050    5568    7293    1
   8586       0    2244    8079    0
  64488   64487    5976   40297    1
  33462   16564    7639   32090    0
  59663       0   45926   35083    0
  21853       0   21184   21283    0
  54230    5395   22832   35638    0
  53055   53055   11134   10471    1
  20903    2884    4147   20095    0
  45575   25285   13914   19593    1
   1162    1162    1092     340    1
  19965   19964    7377     521    1
  50664    4245   37635   21811    0
  32032   32032   12350   20398    1
  14559   14559     709    1127    1
  20873    5845   15493   18673    1
  25761    7783    5462   15274    0
   5945    5945     769    4905    1
  15659    3805    8706    1354    0
  25140   24508   22731    3503    1
  63622   26399    6992    7410    1
   8159       0    3266    6015    0
  27210   27210   21292   25953    1
  46438   34966   35007    6010    1
  33288   15987    2071   16964    1
   9962    8933    5297    7468    1
   5386     587    2277    4796    0
  11693   11511    9747    3038    1
  63499   13036   18807   25226    1
  29411   26194    3956    8592    1
   8613    7943    5876    4908    1
   7697     737     984    3432    0
     65      65      30      17    1
  59049   52680   44943   46898    1
  18698      93    4211   17452    0
  45268   19180   26712    5211    0
  28117   25669    5337    5565    1
   3010    2600    2675     442    1
  55428   16048   11763   19885    1
  34881    6878    8945   24133    0
   4547    4426     662    3112    1
  65480   60020    4362    3186    0
  53042   53041   20204   20948    1
  31662    6600   13401    6592    0
  13148     812    4689    1244    0
  13110   10911   10494    7153    1
  39197   28638   27714    8059    1
  13798   13798   10242    3552    1
  45912   19810   11832   32331    0
   3400    3122     354    1731    1
  10847    9477    4348    1995    1
  50975   20105   23694   33363    1
  14526    6683    7579    3480    0
  21830    7641    6733   15887    0
   5069    2947    4720    3925    0
  38266   38266   16678   38008    1
  30680   23573     938    3591    1
  41443    3657    7107   27247    0
  59617   52069   31349   23906    0
  63639       0   36947   18138    0
  17626   17329    9806    9790    0
  38261   38261   31749   29804    1
  38619    1861   21892   36350    0
  58459       0    1171   54263    0
  62829   51572   26703   47643    1
  46843    3999    8929   20695    0
  47701   36038   28010    6054    1
  13671    1112    9578   11690    0
  54399    8922   37510   36688    0
  55023    5744   17070   30777    0
   5475    3921    5260    5118    0
  43796   30420    9168   18391    1
   6328       0     709    2507    0
  56865    6096   50477    7657    0
  59427    3455   41774   45586    0
  59989    4639   39683   49847    0
  40699   28406   32709   30222    0
  19355   11315   13542   13052    0
  61067   60251   40183   17789    1
  27098   27097    9396   14104    1
  48597   48596   35640   46649    1
  45252   45252    6434   12686    1
  33036    1637   28492   12832    0
  11992       0    4952    1368    0
  53190       0   25948   50121    0
   1228      44     688    1054    0
  36552   34191   31759    3591    1
  11662   10328    4239    1104    1
  36095   17096   13090    7545    0
  32460   32459   21439   18505    1
  63976   63976   43360   17170    1
  57137       0   55482    6126    0
  12027       0    3725    6479    0
  58599   33151   53819   23157    1
   9860    2596    8177    4055    0
   6851    6851    4371    4655    1
  26482   15235    7328    5121    0
  49651   23178   15031   18333    1
  47935   29883   17117   44197    1
  51398   13075   20632    8171    0
  23570       0    3361   16680    0
  40587   34636   31759   33141    1
  21910   20761     175   15146    1
  19972   14313   15453   13231    0
  27539       0    4361   23758    0
  45388   45176   40139    8992    1
  56568   40658    5492   28275    1
  25237   23730   17678   15007    1
  40902    3804   11374   13067    1
  11725   11724    2621   10271    1
  46928   31121   39949   21594    1
  33000    5222     578    2860    1
  21247    4741    8390    6295    0
  50188   26308    4041   27654    1
  15470    3843    2524    9464    0
  21120   21120   14355   15555    1
  54144   39530   21776   17517    0
  63320       0   60030   46633    0
  22815   18123   21848    5445    1
  54547   48668   30604   14011    1
  23011    5685    8036   14346    0
  29982   10615   21925     144    1
   8836    8836     524    3851    1
  21674   21674   20942   19762    1
  57160   39250    3017   16837    1
  18374   18374   12190   10594    1
  29832   12551   28867    1926    1
  40511   30551   29585   18752    1
  25089   24268    5238   20367    1
  53186   48044      58   34159    1
  12836    5388   11609    7693    0
  63308   63307   20389    7799    1
  27679    9668   19877   20177    1
  62960   50305   47693   43977    0
  33135   24046   32631   23861    0
  59363   59363   17591    4671    1
  14368    3250     627   14292    0
  13597   13597   10520   10537    1
  19828   19827    7049    2368    1
  35729       0   12881   11472    0
  45153   45152   17098    8216    1
  27754   17129   20143   10585    0
  63739    8645    9518   60548    0
  63964   63964   41687   50227    1
  39380    3447   28327   37555    0
  27224   27223   21684    2188    1
  11712   11711    5709    8870    1
  30365    1657   28925   11882    0
  33468       0    4769   29452    0
  53127   53127   15222   27279    1
  13664   11164    9348    7000    0
  34811   27544    5418   32442    1
  63217   16414    6966   43632    0
  34308   34308   26906   14770    1
  26719   26719   16070   20132    1
   1894    1576     800    1163    1
  45232   39520    3995   29091    1
  45351       0   32938   36450    0
  64503   11205   58914   35647    0
   9171    1236    4429    8376    0
  13390   13390    6613    9142    1
  12085   12084    6042    7208    1
    769     325      56     158    1
   8280    8279    7893    6404    1
  15509    9602   14783    7119    1
   5143       0    4286     592    0
  54118    5641    4603   45991    0
  48614       0   23509   10068    0
  41055   14409   38318   20936    0
  43170   26094   20960   10964    0
  20082   15538     219   10450    1
  32194   17800   19292   15501    0
  15118       0    4125   14822    0
  42232   42231   25983    7355    1
   4664     328    4584    2160    0
  48505    3864   46680    7850    0
   1875    1874    1060     432    1
  64360   25272   21148   44074    1
  45685   45685   14713   39188    1
  25266   21591    6367     451    1
  28178   23333   19990    7409    1
  30047   29747    6509   29065    1
  39764   39353   11206   22284    1
  38299   20638   12491   15191    1
  20243   10631   11747   13255    1
   2594    2594     637     189    1
  33378   32029   13782   30249    1
  58405   44231   10262   54477    1
  12124   11426     251    2046    1
  46959   36328    8164   46042    0
  42341       0    9439   31309    0
  43365   35252   33941   29357    0
  11322   11322   10275    3062    1
  30692       0   23097    1233    0
  22023   13983   16428   15776    0
  48648       0   35491   44985    0
  39233     116   34988   28291    0
  15329       0    7173    6977    0
  49577   49577   38147   21473    1
  48359    9217    3497   28948    0
  17972       0    7085    3785    0
  43237   41354   35968    7529    1
  34900   34900   30453   24435    1
  59235    4154   14480   56888    0
  17759   12658    1827   16218    0
  17838   17838    8493    3712    1
  40205   35859    5598   26895    1
  23750       0    3701   21251    0
  36214   30108   18193   35717    1
  10136       0    8220    7866    0
  20336    4844   10521   15907    0
  58558   23910   24105   21991    0
  27011   27010   17562   17407    1
  59482   21797   24178   16921    0
   5178     899    1345    1812    1
  52414   17491   13986   40780    0
  55361   40832   40813   46828    1
  19505       0   17876   12701    0
  10445    2833    6024    3893    0
   7018    1841    1335    1221    0
  24052       0   14014   18911    0
  62748       0    7266   46895    0
  59193   39362   23373   21235    0
  17597       0   11721   14415    0
  44735   44734   19272   13654    1
  60517   54521   51703    5994    1
  10028    9279     141    1098    1
  38090   36211      34      88    1
   4955    3368    1209    3454    1
   7199    7199    6414    3785    1
  48125   39619   13041   22057    1
  38136    2183   16549   11058    0
  19756       0    7803     997    0
  57715     314    7530   38362    0
  25292    5461   12200   13786    1
  48829   48829   11065   19235    1
  10158       0    9799    8834    0
  14704   12131    4733    1878    1
  11814   11814    9187    6180    1
   8054     394    5242    6825    0
  29034    3041   20691    7699    0
  11200     704    1723     367    0
   5952       0    4138    1179    0
  28382       0    5770   21269    0
  32789   32789   12093    3651    1
    183     183     115      56    1
  51312       0   47113    2944    0
   4698    4697    3353     111    1
  36362   19111    3736   10887    1
  42039   36550   40394   34497    1
  10812     501    4987    1072    0
  35975   10407   24687   31229    1
  64646   12884   33766   24346    0
  62659   62659   38704   14719    1
  40204   40204   27710    9306    1
  29088   29087    3902   18058    1
  38139   38139    1210   10316    1
   2998    1075     461    2942    0
  51464   31211   38859   13465    1
  20801      89   14966    2544    0
  25100   24577   24744    3569    1
  39204       0   14007   18032    0
  24326   20226   15753   17678    1
  40514   40513   30598   23732    1
    674       3     339     557    0
  53503   53503    9930   16212    1
  10509    9486    4897    6857    1
  64561   64561   21348   60687    1
  41863       0    7902   28754    0
  18420    5351   18251     516    1
  10646    1878    9036    1218    0
  46452    4049   26903    8546    0
  27693   14963   24157   17047    0
  32088   17379    1901   26313    0
  58694   35520   33614    3362    1
  34618   26305   32575   12068    1
  25647   25646      88   12421    1
  33927   25185   14106   22646    1
  27726       0     149   18745    0
   3324    1952     582    1568    1
  37804   10352   22062   29604    1
  56112   45724    9551   19628    1
  48156     702   32868   13842    0
  59645       0   46263   42747    0
  59351   54732   34849   48479    1
  35889   11130   20381    2776    0
   9516     600    8713    1452    0
  38083   11568   17137   21392    1
  34328   33848   15177   16774    1
  24652   15594   10925   21818    1
  31834   29535    4366   15963    1
    333     140     228      91    0
  49155       0   11003    3412    0
  56589   26229   34024   46043    1
  14341       0    4283    8982    0
  63631   36363   59852   36569    0
  27274   27273    8091    1049    1
    704     252     436     378    0
  30822       0   13772    9759    0
  41488   12857   15690    8499    0
   4130    4130    2177    2938    1
  23567   23567   12573    6190    1
  57097   57096    9782    4556    1
  30424   30424   23497   16614    1
  49824   48959   37301   36888    0
   7542    7542     787    4161    1
  50188     145   48010    5937    0
  15038    9956    1478    9822    1
  28787   12979    2557   18045    0
  64742   45969    6692   23005    1
  57714   57714   16946   34495    1
  27231    4739   13360   24659    0
  10300    1490    2790    3957    1
   9379    9379     817    1728    1
  57862   40955   32233   16474    0
  30440   30440   24362   20622    1
  10153    2604    6619    5442    0
  28692   28692   18312   15956    1
  12731    6402    1142    1108    0
  20406   20406     843   13319    1
  44378   31387   35023    9403    1
  16929    9494    1874    9510    1
  28124   28124   18127   17260    1
  49630     133   42376   36263    0
  58027   58027   11890   10314    1
  62128   14373   45281   13378    0
  61276   23405   46841    2838    1
   5485    3954    5029     156    1
  56255   39783    5796   37317    1
  50169   50169   13656   30334    1
  22292   13760   13199    8971    0
  48969   48969    3055   21220    1
  60999    8781   48336   49940    1
  58768   58767   40791    9902    1
   7447      46    6917    3280    0
  61320   10308   19752    8745    0
   7093    3613    6701    2925    1
  16804   11216   12953    1891    1
  56235   56235   25891   26738    1
  41649   35098   22100   17544    0
  23130   23129   16772    6452    1
  37952   37951   26665   34179    1
  46710    9631    6924   29302    0
  34158    2134    7933    4439    0
  33226   33226   10105    6981    1
  65042    6399   55326   57194    1
  35928   35927   30264    9138    1
  21275       0   11588   13856    0
   4514       0    3997    3917    0
   6867    6867     266    4847    1
  30078   27441   17709    6995    1
  53944   53943   30024   19226    1
  51092    6865   47201   42372    0
  16087   16087    9081   12898    1
  20204   20204    7088   19447    1
   8075    1425    5221     559    0
  41423   41423   28405    1305    1
  23581       0    8226   16771    0
  58915       0   49901   38959    0
  63744   32239   53420   10244    1
  10864    2368    2243     476    0
  26478    5944    7790   21630    0
  50549   10307   47967   46488    0
  62387   43305   40886   27340    0
  30589   15404   22994    8331    0
  39798    9629    3911    2192    0
  43706   12388    3295   42274    0
  60532   26088   48396     253    1
   4594    3384    1930    2034    1
   1751     957     296    1474    0
  55646   45550   53337   46173    0
  64170   61082   52259   38683    1
  20708    2891   13412   18307    0
  59973   37579   28550   39320    1
  35521   35520   25504   33924    1
  54394   54099   43609   35127    1
  61545    9626   18218   58381    0
  28202    7210   24941   10368    0
  21190   14619     477   10663    1
  47370    7607    4304   41825    0
  31333       0   17513   11843    0
  35570    9625    7172    4252    0
  48070    8866   17001   17717    1
  11246    4138    4032    8036    1
   3936    3935    2184    1176    1
   8005    1661    7285    1763    0
  31078    9047   14071   14364    1
  32083   32082   30276   18829    1
  34301   34301    9034   27560    1
  31382       0   27459   18164    0
  37231     306   26169    5147    0
  46038   43689   43697   33570    1
  53536   28441   41652   40199    0
  58181   45923    3933   49239    1
  21441   15704   17781   11023    1
  38953   38952   31374   25659    1
  51145       0   42886   17007    0
  47790   28387   30222   14183    0
  56228   19281   10106   46239    0
  55500   50536   52655   24417    1
   2293       0     719    1613    0
   4825    4825    1458    2851    1
  29348   29348    7776   18859    1
  34598   25481   33276    9998    1
   1695    1695    1216     182    1
  41403   12218   15572   30763    0
  60773       0   59693   21913    0
  35532    4512   22560   13912    0
  19927    4761     963    6585    0
  24488   16733   20525   23598    1
  36618   35306   30411   25790    1
  27552   27552   16919   20070    1
  27707   27706   21054    4539    1
  20434   20433    2178    3525    1
  47257   10251   42048   14499    0
  44915   28980      67   24183    1
  48938    3422   18635   20618    1
  11512    5044    2076    1116    0
   3282    3281    2323    1171    1
  53455   34381   31966   47647    1
   8576    8575    3347    2212    1
  25298   25298   22603   13637    1
  44290   44289   44033   32874    1
  31627   26972    6498   28953    1
   5553     601    3448     587    0
  18829   11560   14802   15943    1
  18927   16986   11683   18213    1
  64829   47040   30743   34965    1
  15395    7422    5661    3034    0
  53380    8828   29791   47246    0
  23215    9822   11730    7616    0
  19914   18457    6075    9205    1
  42445   39640    7688   22280    1
  63929    1969   62548    8802    0
  64385   64384   44435   55602    1
  55281    6785   12007    4575    0
  10301   10301    6874    8670    1
  28832   28832   21293    7177    1
  61844   17607   37219    4027    0
  19047       0    9786   11059    0
   4453    3760    3359    3840    1
  43907    9808   11314   24035    0
  58152   30995   15368   32430    1
   8268    5193    7185    6958    0
   1215       0     812     184    0
  14112   14112   13231    7966    1
  45099   15533    5831   41643    0
  64161   27641   13591    9119    0
  25191     744   20614   13140    0
  17285   17284   16329     371    1
  11927    9110     627    8997    1
  15346   15346   10587   10681    1
  43173   37952    3376   40257    1
     42       1      18      19    0
  38654       0   36729    9847    0
  54411   22761   28099   15598    0
  45562       0    5968   11479    0
   3565     964     455    2398    0
   8603    8602    5446    1102    1
   2706    2570    2052    1517    1
  41347   33167   23470   36930    1
  53628    9664   36231   35568    0
  27334    2819   23362   13203    0
  26655   26655   26039    7210    1
  55293   55293   19637   16055    1
   9746    9746    1173    2794    1
  50601   50601   22834    3450    1
  18447       0    3417   11080    0
  15695     854   13064    1507    0
  40800       0    9430   26794    0
  14822       0    9422    4490    0
   5276    5275    1824    2316    1
  42792   42791   10543    1632    1
  59188   33428   18252   39996    1
  13563   13145    6662   12789    1
  32752   29489   19303   22298    1
  52770       0    4125    7726    0
  65460    5795   36604   52082    0
  28214   28214    5093   23203    1
  20164    9154   20083   18317    0
  39291   36537   15531    1395    1
  26123   26122   24168   14684    1
  64370   27470   30925   22040    0
  37688    8882    8567   18468    0
  44112       0   13831   39736    0
  25812       0   13041    1648    0
  25367   11110   14121    2636    0
  19187   19187   15382   13888    1
  31811   31811   22533     942    1
   4511    3508    2594    2949    1
  34991   33756   34936   32027    1
   2753     334    1596    1287    0
  50410   50410   39042   18706    1
   7295    2515    2329     180    0
  17589    1070   10634    5640    0
  27205       0   10258    7928    0
   5917    2502    3686    5787    1
  12138       0   11186   10829    0
  39603   39603    4377   28213    1
  63564   33538   31411   45844    1
  46296   36324   17990   14880    0
  41569   41568   17205    4962    1
  20003   18432    9102   14769    1
  48052   48052   35731   20061    1
  15828      76    3418   12779    0
  64083   25773   38461   53131    1
  64083       0   54993   20558    0
  60154   51917   36472   36389    0
  34061   21023   21863    2894    1
  33354    4204    9415   15985    0
  47674   44416   39529   12595    1
  19021   19021    9303   13250    1
  21780   21780    7222    5766    1
  24162   24162    3596    7500    1
  60080    7680   26456   38948    0
   4207    3255    2066    2169    1
  28420   28420   22670   11909    1
  27800   16514   18638   11935    0
  61338   61337   53917   12492    1
  57777    7134   35039   31794    0
   6863       0    1068    6252    0
  52123   14035     556   36892    0
  52509   18769   20846    2096    0
  22770       0   17817   19988    0
  42297   23961   34407   32279    0
  36210       0   32094    2245    0
  34163    7620   31777   23609    0
  30361   30361    8909    8054    1
  57627   39658    2739   28371    1
  25751   25751   14084   13547    1
   8798    3943    7396    2021    1
  17933    2234    6898    4179    0
  53567   53566   27600   21176    1
  34985    9377   21002    3600    0
  23515   19237   14665   20284    1
  36425    6892   20186    3078    0
  14407   10547      70    5398    1
   7851    4865    6937    7153    1
  20312    2065    6471   15659    0
  36159   35318     724   27459    1
  47168   22866   25755    2422    0
  15131    2824    1121    4618    0
  60425   30007   13131   56483    0
  32748    9516    3553    5399    1
  41870   41870   32954   12758    1
  64510   64509   53962    5045    1
  35747       0   25950   27264    0
  58907    3907    8401   33114    0
  39778    8886   38030     330    1
  57429   56029   29366   57079    1
  20254   10238    4477   16626    0
  36520   16698   26227   15777    0
  31037   12294   25115   16580    0
   3651    2077    1175     176    0
  19482   11130   12057    8588    0
   4499    4499    1416    2562    1
  46083   25133    8096   24635    1
  31083   31083    3339    1919    1
  29926       0     614    1869    0
  58503   27168   25861   52536    1
  56670   44248   35755   48985    1
  27113   22713   23939    5603    1
  23179    4869    3783   19523    0
  33681   26515   18083   14400    0
  54209   33438   22396    6218    0
   2668    1172    1230    1405    1
  22433   22432   14619    9191    1
  12102   12102     203    1941    1
  58713    6795    4221   24117    0
  56053   56053    9312   29505    1
  23385   23385   18844   12076    1
   5753    5752    2665    3566    1
  16869   13621    2052   15678    0
  48587       0   26177   28039    0
  34186   34186    5454   27212    1
  16931    4727   10187    2591    0
  51109       0   40998   30262    0
  50093   41439     832     161    0
  17525       0   16858    2759    0
   3854    3742    1203    2744    1
  32053   32052   14917   24867    1
  46125   17275   40716   31316    0
  13077    3259    6965    3699    0
  29073   29072     278   28799    1
  24838    1295    8911    8178    0
   4524    2974    1620      82    0
  52201    1931   48446   45971    0
  34744   24137   13231    5810    0
  46015   46014   23986   15755    1
  43413      68   18183   32359    0
  10933   10932   10238    1857    1
  51896   51896   33882    9187    1
  63456   63456    4438   48194    1
  44683       0   38151    8064    0
  11827   11826    3713   11473    1
  49141   23722    1910   39906    0
  36493       0   29414    9460    0
  56761   11618   29526   43745    0
  17475   17474    6125    3339    1
  55647    4768    7553    3932    0
  51130   51129   50043   30969    1
  15868   15867    3365    1567    1
  42804    1182    3421   41208    0
  11017   11017    1842     804    1
  24458   18487   23918   13265    1
  19479   19478   17871    7599    1
   6348    6347    1589     834    1
  29762   19362    1148    1804    1
  48294   26409    7989   12926    1
  16961    5896    9173   16295    0
  60861   60861   32537    9479    1
   8221    4771    1082    4991    1
   2619    2010     949    1761    1
  14610   14610   10847    9185    1
  62552   61183   12501   43936    1
  19871   19870    9608   11962    1
  24624       0    4309   10274    0
  56780   56780   10173   54349    1
  17567    9450    5080     695    0
  16687   16687    1299   12727    1
  35685       0   28465   12260    0
  33826   23585   10301    6453    0
  50620   50620   31876    2624    1
  44715   44714   32377   37695    1
  16231   14044    8933    1964    1
  13258    9043    4797    6844    1
  25189    7727    8880   22015    0
   8705    8705    7009    2666    1
  14072       0   12889   12209    0
  62505   55621   39992   54780    1
   6901     231    4004    4541    0
  19059    9086   15312   12264    0
  13252    7646   12555   10719    0
   7066       0    4878    1242    0
  47284   47284   30294   31335    1
  29037   21385   22294   13288    1
  61613    2122    9045   25090    0
  39741   10734   32513   13629    0
  51769   16501   13591   28939    1
  34856    1835   19411   20793    1
  11817   11013    2510     703    1
  22740   17843   19410   20954    1
  42018       0   30888   21395    0
  60863       0    4671   35118    0
  28931    6935   21623    2066    0
   9944    9944    3316    8857    1
  62500   60824    7066   34623    1
    966     965     945     763    1
  47484   47484   36821    6896    1
  23696       0    6403   19342    0
  54826   31203   15391   52768    0
  49808   31742    7564   28347    1
  16347   15812    4676    1273    1
  22575    4985    7134   18120    0
  59915   44649   15114   51433    1
    480     479     201     402    1
  51654     884   38191   28834    0
  31280       0   18873   27938    0
  23968    6451   22121    8295    0
  25193   25193   20900   16267    1
  52016   10845   23989   15976    0
   8773       0    4089     570    0
  10002    7963    7477    6637    0
  23281   22200   18029    7429    1
  47087   25151   46211   23914    1
  13680    8067    4459    7739    1
  22206     550   21341   11562    0
   8564    2478    8340    6341    0
  51009   42254   43319    4694    1
    970     970     412     197    1
   9464    9464     302    6688    1
  13072   13047    1141    9196    1
  28224   28224    6153   22116    1
  29286    9525   12505    2722    0
  40519   40519   17563   21564    1
  13394    3614    4143     660    0
  48016       0   43530    8185    0
  38880   31560    2026   23650    1
   9183    3813    4190    5461    1
  47953   41767   15441   35094    1
  57062       0   38592   18366    0
  16870    4502    5088    4747    0
  55007   14156   14830   32565    0
  36978       0   31287   15410    0
  52203   23259   34506   21504    0
